TCP,status,xml_path,txt_path,extracted_chars
A20076,ok,/Users/grace/Desktop/new meta/tcp_drama/A20076.xml,/Users/grace/Desktop/new meta/<l><p>extract/A20076.txt,131107
A04648,ok,/Users/grace/Desktop/new meta/tcp_drama/A04648.xml,/Users/grace/Desktop/new meta/<l><p>extract/A04648.txt,207277
A06742,ok,/Users/grace/Desktop/new meta/tcp_drama/A06742.xml,/Users/grace/Desktop/new meta/<l><p>extract/A06742.txt,73491
A11975,ok,/Users/grace/Desktop/new meta/tcp_drama/A11975.xml,/Users/grace/Desktop/new meta/<l><p>extract/A11975.txt,65108
A08469,ok,/Users/grace/Desktop/new meta/tcp_drama/A08469.xml,/Users/grace/Desktop/new meta/<l><p>extract/A08469.txt,113666
A11974,ok,/Users/grace/Desktop/new meta/tcp_drama/A11974.xml,/Users/grace/Desktop/new meta/<l><p>extract/A11974.txt,126239
A11991,ok,/Users/grace/Desktop/new meta/tcp_drama/A11991.xml,/Users/grace/Desktop/new meta/<l><p>extract/A11991.txt,108537
A11989,ok,/Users/grace/Desktop/new meta/tcp_drama/A11989.xml,/Users/grace/Desktop/new meta/<l><p>extract/A11989.txt,88206
A68727,ok,/Users/grace/Desktop/new meta/tcp_drama/A68727.xml,/Users/grace/Desktop/new meta/<l><p>extract/A68727.txt,101578
A11981,ok,/Users/grace/Desktop/new meta/tcp_drama/A11981.xml,/Users/grace/Desktop/new meta/<l><p>extract/A11981.txt,110191
A08009,ok,/Users/grace/Desktop/new meta/tcp_drama/A08009.xml,/Users/grace/Desktop/new meta/<l><p>extract/A08009.txt,90861
A06333,ok,/Users/grace/Desktop/new meta/tcp_drama/A06333.xml,/Users/grace/Desktop/new meta/<l><p>extract/A06333.txt,131205
A20083,ok,/Users/grace/Desktop/new meta/tcp_drama/A20083.xml,/Users/grace/Desktop/new meta/<l><p>extract/A20083.txt,100938
A04647,ok,/Users/grace/Desktop/new meta/tcp_drama/A04647.xml,/Users/grace/Desktop/new meta/<l><p>extract/A04647.txt,134908
A20867,ok,/Users/grace/Desktop/new meta/tcp_drama/A20867.xml,/Users/grace/Desktop/new meta/<l><p>extract/A20867.txt,87071
A06620,ok,/Users/grace/Desktop/new meta/tcp_drama/A06620.xml,/Users/grace/Desktop/new meta/<l><p>extract/A06620.txt,56731
